prompt_id,kind,task,prompt_idx,partner_id,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,query_input,query_output,prompt
12,icl,knowledge/country_capital,6,13,Turkey,Allied-occupied Germany,Kingdom of Valencia,Austria-Hungary,Colonial Brazil,Prague-West District,Ransom County,Afghan Transitional Administration,Czech Republic,Portugal,Ankara,Berlin,Valencia,Vienna,Salvador,Prague,Lisbon,Kabul,Prague,Lisbon,Homs Governorate,Damascus,"Turkey → Ankara
Allied-occupied Germany → Berlin
Kingdom of Valencia → Valencia
Austria-Hungary → Vienna
Colonial Brazil → Salvador
Prague-West District → Prague
Ransom County → Lisbon
Afghan Transitional Administration → Kabul
Czech Republic → Prague
Portugal → Lisbon
Homs Governorate →"
13,query_only,knowledge/country_capital,6,12,,,,,,,,,,,,,,,,,,,,,People's Republic of China,Beijing,People's Republic of China →
14,icl,knowledge/country_capital,7,15,Scotland,Czech Socialist Republic,Brussels-Capital Region,Qing dynasty,England,Second Spanish Republic,Kingdom of the Netherlands,Flanders,Seine,Philippines,Edinburgh,Prague,Brussels,Beijing,Winchester,Madrid,Amsterdam,Brussels,Paris,Manila,People's Republic of China,Beijing,"Scotland → Edinburgh
Czech Socialist Republic → Prague
Brussels-Capital Region → Brussels
Qing dynasty → Beijing
England → Winchester
Second Spanish Republic → Madrid
Kingdom of the Netherlands → Amsterdam
Flanders → Brussels
Seine → Paris
Philippines → Manila
People's Republic of China →"
15,query_only,knowledge/country_capital,7,14,,,,,,,,,,,,,,,,,,,,,Norway,Oslo,Norway →
16,icl,knowledge/country_capital,8,17,Demerara,Kingdom of Sicily,Makkah Region,Veneto,Peru,Lodi dynasty,Lebanon,Kingdom of Bohemia,Second Polish Republic,Habsburg Monarchy,Georgetown,Naples,Mecca,Venice,Lima,Delhi,Beirut,Prague,Warsaw,Vienna,Norway,Oslo,"Demerara → Georgetown
Kingdom of Sicily → Naples
Makkah Region → Mecca
Veneto → Venice
Peru → Lima
Lodi dynasty → Delhi
Lebanon → Beirut
Kingdom of Bohemia → Prague
Second Polish Republic → Warsaw
Habsburg Monarchy → Vienna
Norway →"
17,query_only,knowledge/country_capital,8,16,,,,,,,,,,,,,,,,,,,,,Labuan,Victoria,Labuan →
18,icl,knowledge/country_capital,9,19,Kingdom of Wessex,Turkey,Ayyubid dynasty,Baghdad Governorate,Athens County,Afghan Transitional Administration,La Colle,Finnish Socialist Workers' Republic,province of Milan,Grand Duchy of Finland,Winchester,Ankara,Cairo,Baghdad,Athens,Kabul,Monaco,Helsinki,Milan,Helsinki,Labuan,Victoria,"Kingdom of Wessex → Winchester
Turkey → Ankara
Ayyubid dynasty → Cairo
Baghdad Governorate → Baghdad
Athens County → Athens
Afghan Transitional Administration → Kabul
La Colle → Monaco
Finnish Socialist Workers' Republic → Helsinki
province of Milan → Milan
Grand Duchy of Finland → Helsinki
Labuan →"
19,query_only,knowledge/country_capital,9,18,,,,,,,,,,,,,,,,,,,,,Republic of Florence,Florence,Republic of Florence →
20,icl,knowledge/country_capital,10,21,Province of Venice,La Colle,Turkey,Lebanon,Libya,Province of Florence,Brandenburg-Prussia,province of Milan,Rashidun Caliphates,Denmark,Venice,Monaco,Ankara,Beirut,Tripoli,Florence,Berlin,Milan,Medina,Copenhagen,Republic of Florence,Florence,"Province of Venice → Venice
La Colle → Monaco
Turkey → Ankara
Lebanon → Beirut
Libya → Tripoli
Province of Florence → Florence
Brandenburg-Prussia → Berlin
province of Milan → Milan
Rashidun Caliphates → Medina
Denmark → Copenhagen
Republic of Florence →"
21,query_only,knowledge/country_capital,10,20,,,,,,,,,,,,,,,,,,,,,British Guiana,Georgetown,British Guiana →
22,icl,knowledge/country_capital,11,23,Makkah Region,Belgium,Qing dynasty,Second Spanish Republic,Colonial Brazil,Egypt,Lazio,Metropolitan France,Ransom County,Norway,Mecca,Brussels,Beijing,Madrid,Salvador,Cairo,Rome,Paris,Lisbon,Oslo,British Guiana,Georgetown,"Makkah Region → Mecca
Belgium → Brussels
Qing dynasty → Beijing
Second Spanish Republic → Madrid
Colonial Brazil → Salvador
Egypt → Cairo
Lazio → Rome
Metropolitan France → Paris
Ransom County → Lisbon
Norway → Oslo
British Guiana →"
23,query_only,knowledge/country_capital,11,22,,,,,,,,,,,,,,,,,,,,,Province of Florence,Florence,Province of Florence →
24,icl,knowledge/country_capital,12,25,Ransom County,South Yemen,Aleppo Governorate,Syria,Kingdom of Jerusalem,Prague-West District,Kabul Shahi,Ulster County,Brussels-Capital Region,Iraq,Lisbon,Aden,Aleppo,Damascus,Jerusalem,Prague,Kabul,Kingston,Brussels,Baghdad,Province of Florence,Florence,"Ransom County → Lisbon
South Yemen → Aden
Aleppo Governorate → Aleppo
Syria → Damascus
Kingdom of Jerusalem → Jerusalem
Prague-West District → Prague
Kabul Shahi → Kabul
Ulster County → Kingston
Brussels-Capital Region → Brussels
Iraq → Baghdad
Province of Florence →"
25,query_only,knowledge/country_capital,12,24,,,,,,,,,,,,,,,,,,,,,Province of Florence,Florence,Province of Florence →
26,icl,knowledge/country_capital,13,27,Flanders,Kyōto Prefecture,Kingdom of Hungary,Veneto,Hawaii,Kingdom of Jerusalem,Province of Venice,Kingdom of Sicily,Ayyubid dynasty,Mumbai City district,Brussels,Kyoto,Budapest,Venice,Honolulu,Jerusalem,Venice,Naples,Cairo,Mumbai,Province of Florence,Florence,"Flanders → Brussels
Kyōto Prefecture → Kyoto
Kingdom of Hungary → Budapest
Veneto → Venice
Hawaii → Honolulu
Kingdom of Jerusalem → Jerusalem
Province of Venice → Venice
Kingdom of Sicily → Naples
Ayyubid dynasty → Cairo
Mumbai City district → Mumbai
Province of Florence →"
27,query_only,knowledge/country_capital,13,26,,,,,,,,,,,,,,,,,,,,,Scotland,Edinburgh,Scotland →
28,icl,knowledge/country_capital,14,29,British America,Norway,Syria,Kingdom of Valencia,Second Polish Republic,Metropolis of Lyon,Brussels-Capital Region,People's Republic of Poland,Republic of Florence,Iraq,London,Oslo,Damascus,Valencia,Warsaw,Lyon,Brussels,Warsaw,Florence,Baghdad,Scotland,Edinburgh,"British America → London
Norway → Oslo
Syria → Damascus
Kingdom of Valencia → Valencia
Second Polish Republic → Warsaw
Metropolis of Lyon → Lyon
Brussels-Capital Region → Brussels
People's Republic of Poland → Warsaw
Republic of Florence → Florence
Iraq → Baghdad
Scotland →"
29,query_only,knowledge/country_capital,14,28,,,,,,,,,,,,,,,,,,,,,Second Spanish Republic,Madrid,Second Spanish Republic →
30,icl,knowledge/country_capital,15,31,England,province of Milan,Lodi dynasty,South Yemen,Province of Florence,Dutch East Indies,Afghan Transitional Administration,Kingdom of Jerusalem,Kyōto Prefecture,Veneto,Winchester,Milan,Delhi,Aden,Florence,Jakarta,Kabul,Jerusalem,Kyoto,Venice,Second Spanish Republic,Madrid,"England → Winchester
province of Milan → Milan
Lodi dynasty → Delhi
South Yemen → Aden
Province of Florence → Florence
Dutch East Indies → Jakarta
Afghan Transitional Administration → Kabul
Kingdom of Jerusalem → Jerusalem
Kyōto Prefecture → Kyoto
Veneto → Venice
Second Spanish Republic →"
31,query_only,knowledge/country_capital,15,30,,,,,,,,,,,,,,,,,,,,,Santiago Metropolitan Region,Santiago,Santiago Metropolitan Region →
32,icl,knowledge/country_capital,16,33,Nazi Germany,Khalji dynasty,Rif Dimashq Governorate,England,Kingdom of the Netherlands,Delhi Sultanate,Denmark,Czech Republic,Aleppo Governorate,Belgium,Berlin,Delhi,Damascus,Winchester,Amsterdam,Delhi,Copenhagen,Prague,Aleppo,Brussels,Santiago Metropolitan Region,Santiago,"Nazi Germany → Berlin
Khalji dynasty → Delhi
Rif Dimashq Governorate → Damascus
England → Winchester
Kingdom of the Netherlands → Amsterdam
Delhi Sultanate → Delhi
Denmark → Copenhagen
Czech Republic → Prague
Aleppo Governorate → Aleppo
Belgium → Brussels
Santiago Metropolitan Region →"
33,query_only,knowledge/country_capital,16,32,,,,,,,,,,,,,,,,,,,,,England,Winchester,England →
34,icl,knowledge/country_capital,17,35,Qing dynasty,Province of Florence,Kingdom of Sicily,Lebanon,Province of Venice,Czech Republic,South Korea,Finnish Socialist Workers' Republic,Germany,Portugal,Beijing,Florence,Naples,Beirut,Venice,Prague,Seoul,Helsinki,Berlin,Lisbon,England,Winchester,"Qing dynasty → Beijing
Province of Florence → Florence
Kingdom of Sicily → Naples
Lebanon → Beirut
Province of Venice → Venice
Czech Republic → Prague
South Korea → Seoul
Finnish Socialist Workers' Republic → Helsinki
Germany → Berlin
Portugal → Lisbon
England →"
35,query_only,knowledge/country_capital,17,34,,,,,,,,,,,,,,,,,,,,,Spain,Madrid,Spain →
36,icl,knowledge/country_capital,18,37,British Guiana,Free State of Prussia,Tughlaq dynasty,Brussels-Capital Region,Al Madinah Region,Flanders,Lima,Prague-West District,People's Republic of China,Belgium,Georgetown,Berlin,Delhi,Brussels,Medina,Brussels,Lima,Prague,Beijing,Brussels,Spain,Madrid,"British Guiana → Georgetown
Free State of Prussia → Berlin
Tughlaq dynasty → Delhi
Brussels-Capital Region → Brussels
Al Madinah Region → Medina
Flanders → Brussels
Lima → Lima
Prague-West District → Prague
People's Republic of China → Beijing
Belgium → Brussels
Spain →"
37,query_only,knowledge/country_capital,18,36,,,,,,,,,,,,,,,,,,,,,Santiago Metropolitan Region,Santiago,Santiago Metropolitan Region →
38,icl,knowledge/country_capital,19,39,Syria,Jamaica,Qing dynasty,Province of Venice,La Condamine,Umayyad Caliphate,Second Spanish Republic,Kingdom of Egypt,Copenhagen Municipality,Kyōto Prefecture,Damascus,Kingston,Beijing,Venice,Monaco,Damascus,Madrid,Cairo,Copenhagen,Kyoto,Santiago Metropolitan Region,Santiago,"Syria → Damascus
Jamaica → Kingston
Qing dynasty → Beijing
Province of Venice → Venice
La Condamine → Monaco
Umayyad Caliphate → Damascus
Second Spanish Republic → Madrid
Kingdom of Egypt → Cairo
Copenhagen Municipality → Copenhagen
Kyōto Prefecture → Kyoto
Santiago Metropolitan Region →"
39,query_only,knowledge/country_capital,19,38,,,,,,,,,,,,,,,,,,,,,Turkey,Ankara,Turkey →
40,icl,knowledge/country_capital,20,41,Kiev-Sviatoshyn Raion,Metropolis of Greater Paris,Dutch East Indies,Homs Governorate,Roman Empire,Province of Venice,Rashidun Caliphates,Paris Commune,Delhi Sultanate,People's Republic of Poland,Kiev,Paris,Jakarta,Damascus,Constantinople,Venice,Medina,Paris,Delhi,Warsaw,Turkey,Ankara,"Kiev-Sviatoshyn Raion → Kiev
Metropolis of Greater Paris → Paris
Dutch East Indies → Jakarta
Homs Governorate → Damascus
Roman Empire → Constantinople
Province of Venice → Venice
Rashidun Caliphates → Medina
Paris Commune → Paris
Delhi Sultanate → Delhi
People's Republic of Poland → Warsaw
Turkey →"
41,query_only,knowledge/country_capital,20,40,,,,,,,,,,,,,,,,,,,,,La Condamine,Monaco,La Condamine →
42,icl,knowledge/country_capital,21,43,Empire of Japan,Turkey,Kingdom of Hungary,Province of Florence,Denmark,Kingdom of Sicily,Habsburg Monarchy,First Czechoslovak Republic,Bohemia,Norway,Tokyo,Ankara,Budapest,Florence,Copenhagen,Naples,Vienna,Prague,Prague,Oslo,La Condamine,Monaco,"Empire of Japan → Tokyo
Turkey → Ankara
Kingdom of Hungary → Budapest
Province of Florence → Florence
Denmark → Copenhagen
Kingdom of Sicily → Naples
Habsburg Monarchy → Vienna
First Czechoslovak Republic → Prague
Bohemia → Prague
Norway → Oslo
La Condamine →"
43,query_only,knowledge/country_capital,21,42,,,,,,,,,,,,,,,,,,,,,Portugal,Lisbon,Portugal →
44,icl,knowledge/country_capital,22,45,Empire of Japan,Afghanistan,State of Brazil,Paris Commune,Spanish East Indies,Prague-West District,La Condamine,Bohemia,Kingdom of Bohemia,Copenhagen Municipality,Tokyo,Kabul,Salvador,Paris,Manila,Prague,Monaco,Prague,Prague,Copenhagen,Portugal,Lisbon,"Empire of Japan → Tokyo
Afghanistan → Kabul
State of Brazil → Salvador
Paris Commune → Paris
Spanish East Indies → Manila
Prague-West District → Prague
La Condamine → Monaco
Bohemia → Prague
Kingdom of Bohemia → Prague
Copenhagen Municipality → Copenhagen
Portugal →"
45,query_only,knowledge/country_capital,22,44,,,,,,,,,,,,,,,,,,,,,Free State of Prussia,Berlin,Free State of Prussia →
46,icl,knowledge/country_capital,23,47,4th of August Regime,Makkah Region,People's Republic of China,Copenhagen Municipality,Denmark,Portugal,Ankara Province,Colonial Brazil,Hawaii,Jerusalem District,Athens,Mecca,Beijing,Copenhagen,Copenhagen,Lisbon,Ankara,Salvador,Honolulu,Jerusalem,Free State of Prussia,Berlin,"4th of August Regime → Athens
Makkah Region → Mecca
People's Republic of China → Beijing
Copenhagen Municipality → Copenhagen
Denmark → Copenhagen
Portugal → Lisbon
Ankara Province → Ankara
Colonial Brazil → Salvador
Hawaii → Honolulu
Jerusalem District → Jerusalem
Free State of Prussia →"
47,query_only,knowledge/country_capital,23,46,,,,,,,,,,,,,,,,,,,,,Qing dynasty,Beijing,Qing dynasty →
48,icl,knowledge/country_capital,24,49,Copenhagen Municipality,England,Kingdom of the Netherlands,province of Milan,Khalji dynasty,Free State of Prussia,State of Brazil,Bohemia,Kingdom of Jerusalem,Kingdom of Valencia,Copenhagen,Winchester,Amsterdam,Milan,Delhi,Berlin,Salvador,Prague,Jerusalem,Valencia,Qing dynasty,Beijing,"Copenhagen Municipality → Copenhagen
England → Winchester
Kingdom of the Netherlands → Amsterdam
province of Milan → Milan
Khalji dynasty → Delhi
Free State of Prussia → Berlin
State of Brazil → Salvador
Bohemia → Prague
Kingdom of Jerusalem → Jerusalem
Kingdom of Valencia → Valencia
Qing dynasty →"
49,query_only,knowledge/country_capital,24,48,,,,,,,,,,,,,,,,,,,,,Lodi dynasty,Delhi,Lodi dynasty →
50,icl,knowledge/country_capital,25,51,Kiev-Sviatoshyn Raion,Portugal,Colonial Brazil,Republic of Venice,Lazio,Turkey,Norway,Peru,Tughlaq dynasty,Roman Empire,Kiev,Lisbon,Salvador,Venice,Rome,Ankara,Oslo,Lima,Delhi,Constantinople,Lodi dynasty,Delhi,"Kiev-Sviatoshyn Raion → Kiev
Portugal → Lisbon
Colonial Brazil → Salvador
Republic of Venice → Venice
Lazio → Rome
Turkey → Ankara
Norway → Oslo
Peru → Lima
Tughlaq dynasty → Delhi
Roman Empire → Constantinople
Lodi dynasty →"
51,query_only,knowledge/country_capital,25,50,,,,,,,,,,,,,,,,,,,,,Achaemenid Empire,Babylon,Achaemenid Empire →
52,icl,knowledge/country_capital,26,53,Anatolia Eyalet,Second Spanish Republic,Grand Duchy of Finland,Jerusalem District,Neo-Babylonian Empire,South Yemen,Veneto,Homs Governorate,Khalji dynasty,Makkah Region,Ankara,Madrid,Helsinki,Jerusalem,Babylon,Aden,Venice,Damascus,Delhi,Mecca,Achaemenid Empire,Babylon,"Anatolia Eyalet → Ankara
Second Spanish Republic → Madrid
Grand Duchy of Finland → Helsinki
Jerusalem District → Jerusalem
Neo-Babylonian Empire → Babylon
South Yemen → Aden
Veneto → Venice
Homs Governorate → Damascus
Khalji dynasty → Delhi
Makkah Region → Mecca
Achaemenid Empire →"
53,query_only,knowledge/country_capital,26,52,,,,,,,,,,,,,,,,,,,,,Spain,Madrid,Spain →
54,icl,knowledge/country_capital,27,55,Afghan Transitional Administration,Jerusalem District,Prague-West District,British America,Lazio,Metropolis of Lyon,Portugal,United States Army Military Government in Korea,First Czechoslovak Republic,Kingdom of Egypt,Kabul,Jerusalem,Prague,London,Rome,Lyon,Lisbon,Seoul,Prague,Cairo,Spain,Madrid,"Afghan Transitional Administration → Kabul
Jerusalem District → Jerusalem
Prague-West District → Prague
British America → London
Lazio → Rome
Metropolis of Lyon → Lyon
Portugal → Lisbon
United States Army Military Government in Korea → Seoul
First Czechoslovak Republic → Prague
Kingdom of Egypt → Cairo
Spain →"
55,query_only,knowledge/country_capital,27,54,,,,,,,,,,,,,,,,,,,,,Kiev-Sviatoshyn Raion,Kiev,Kiev-Sviatoshyn Raion →
56,icl,knowledge/country_capital,28,57,Mandatory Palestine,Tughlaq dynasty,Czech Socialist Republic,4th of August Regime,People's Republic of China,Ayyubid dynasty,occupation of Japan,Tripolitania,Dutch East Indies,Portugal,Jerusalem,Delhi,Prague,Athens,Beijing,Cairo,Tokyo,Tripoli,Jakarta,Lisbon,Kiev-Sviatoshyn Raion,Kiev,"Mandatory Palestine → Jerusalem
Tughlaq dynasty → Delhi
Czech Socialist Republic → Prague
4th of August Regime → Athens
People's Republic of China → Beijing
Ayyubid dynasty → Cairo
occupation of Japan → Tokyo
Tripolitania → Tripoli
Dutch East Indies → Jakarta
Portugal → Lisbon
Kiev-Sviatoshyn Raion →"
57,query_only,knowledge/country_capital,28,56,,,,,,,,,,,,,,,,,,,,,Republic of Florence,Florence,Republic of Florence →
58,icl,knowledge/country_capital,29,59,Belgium,Straits Settlements,Lebanon,Saxony,Delhi Sultanate,Kyōto Prefecture,Rif Dimashq Governorate,Tripolitania,Brussels-Capital Region,Anatolia Eyalet,Brussels,Singapore,Beirut,Dresden,Delhi,Kyoto,Damascus,Tripoli,Brussels,Ankara,Republic of Florence,Florence,"Belgium → Brussels
Straits Settlements → Singapore
Lebanon → Beirut
Saxony → Dresden
Delhi Sultanate → Delhi
Kyōto Prefecture → Kyoto
Rif Dimashq Governorate → Damascus
Tripolitania → Tripoli
Brussels-Capital Region → Brussels
Anatolia Eyalet → Ankara
Republic of Florence →"
59,query_only,knowledge/country_capital,29,58,,,,,,,,,,,,,,,,,,,,,Afghan Transitional Administration,Kabul,Afghan Transitional Administration →
60,icl,knowledge/country_capital,30,61,Afghanistan,Finnish Socialist Workers' Republic,Brandenburg-Prussia,Austria-Hungary,Colonial Brazil,Tripolitania,Portugal,Roman Empire,Umayyad Caliphate,Lodi dynasty,Kabul,Helsinki,Berlin,Vienna,Salvador,Tripoli,Lisbon,Constantinople,Damascus,Delhi,Afghan Transitional Administration,Kabul,"Afghanistan → Kabul
Finnish Socialist Workers' Republic → Helsinki
Brandenburg-Prussia → Berlin
Austria-Hungary → Vienna
Colonial Brazil → Salvador
Tripolitania → Tripoli
Portugal → Lisbon
Roman Empire → Constantinople
Umayyad Caliphate → Damascus
Lodi dynasty → Delhi
Afghan Transitional Administration →"
61,query_only,knowledge/country_capital,30,60,,,,,,,,,,,,,,,,,,,,,Second Spanish Republic,Madrid,Second Spanish Republic →
62,icl,knowledge/country_capital,31,63,Grand Duchy of Finland,Brussels-Capital Region,Lima,Khalji dynasty,United States Army Military Government in Korea,province of Milan,First Czechoslovak Republic,Seine,Lebanon,Spain,Helsinki,Brussels,Lima,Delhi,Seoul,Milan,Prague,Paris,Beirut,Madrid,Second Spanish Republic,Madrid,"Grand Duchy of Finland → Helsinki
Brussels-Capital Region → Brussels
Lima → Lima
Khalji dynasty → Delhi
United States Army Military Government in Korea → Seoul
province of Milan → Milan
First Czechoslovak Republic → Prague
Seine → Paris
Lebanon → Beirut
Spain → Madrid
Second Spanish Republic →"
63,query_only,knowledge/country_capital,31,62,,,,,,,,,,,,,,,,,,,,,McMinn County,Athens,McMinn County →
64,icl,knowledge/country_capital,32,65,Libya,Anatolia Eyalet,Peru,La Condamine,Afghan Transitional Administration,Uusimaa,Kabul Shahi,Colonial Brazil,Afghanistan,Demerara,Tripoli,Ankara,Lima,Monaco,Kabul,Helsinki,Kabul,Salvador,Kabul,Georgetown,McMinn County,Athens,"Libya → Tripoli
Anatolia Eyalet → Ankara
Peru → Lima
La Condamine → Monaco
Afghan Transitional Administration → Kabul
Uusimaa → Helsinki
Kabul Shahi → Kabul
Colonial Brazil → Salvador
Afghanistan → Kabul
Demerara → Georgetown
McMinn County →"
65,query_only,knowledge/country_capital,32,64,,,,,,,,,,,,,,,,,,,,,Flemish Community,Brussels,Flemish Community →
66,icl,knowledge/country_capital,33,67,Lebanon,Second French Empire,Province of Florence,Afghanistan,Ulster County,4th of August Regime,occupation of Japan,Norway,Makkah Region,British America,Beirut,Paris,Florence,Kabul,Kingston,Athens,Tokyo,Oslo,Mecca,London,Flemish Community,Brussels,"Lebanon → Beirut
Second French Empire → Paris
Province of Florence → Florence
Afghanistan → Kabul
Ulster County → Kingston
4th of August Regime → Athens
occupation of Japan → Tokyo
Norway → Oslo
Makkah Region → Mecca
British America → London
Flemish Community →"
67,query_only,knowledge/country_capital,33,66,,,,,,,,,,,,,,,,,,,,,Roman Empire,Constantinople,Roman Empire →
68,icl,knowledge/country_capital,34,69,Lima,First Czechoslovak Republic,Scotland,Aleppo Governorate,State of Brazil,Kingdom of Egypt,Spain,England,Denmark,Province of Florence,Lima,Prague,Edinburgh,Aleppo,Salvador,Cairo,Madrid,Winchester,Copenhagen,Florence,Roman Empire,Constantinople,"Lima → Lima
First Czechoslovak Republic → Prague
Scotland → Edinburgh
Aleppo Governorate → Aleppo
State of Brazil → Salvador
Kingdom of Egypt → Cairo
Spain → Madrid
England → Winchester
Denmark → Copenhagen
Province of Florence → Florence
Roman Empire →"
69,query_only,knowledge/country_capital,34,68,,,,,,,,,,,,,,,,,,,,,Makkah Region,Mecca,Makkah Region →
70,icl,knowledge/country_capital,35,71,Mumbai City district,South Yemen,Kingdom of Libya,Lazio,Aleppo Governorate,Bavaria,Umayyad Caliphate,England,Brandenburg-Prussia,British Guiana,Mumbai,Aden,Tripoli,Rome,Aleppo,Munich,Damascus,Winchester,Berlin,Georgetown,Makkah Region,Mecca,"Mumbai City district → Mumbai
South Yemen → Aden
Kingdom of Libya → Tripoli
Lazio → Rome
Aleppo Governorate → Aleppo
Bavaria → Munich
Umayyad Caliphate → Damascus
England → Winchester
Brandenburg-Prussia → Berlin
British Guiana → Georgetown
Makkah Region →"
71,query_only,knowledge/country_capital,35,70,,,,,,,,,,,,,,,,,,,,,Scotland,Edinburgh,Scotland →
72,icl,knowledge/country_capital,36,73,Province of Florence,Umayyad Caliphate,South Yemen,Norway,Mandatory Palestine,Roman Empire,British Guiana,Al Madinah Region,British America,South Korea,Florence,Damascus,Aden,Oslo,Jerusalem,Constantinople,Georgetown,Medina,London,Seoul,Scotland,Edinburgh,"Province of Florence → Florence
Umayyad Caliphate → Damascus
South Yemen → Aden
Norway → Oslo
Mandatory Palestine → Jerusalem
Roman Empire → Constantinople
British Guiana → Georgetown
Al Madinah Region → Medina
British America → London
South Korea → Seoul
Scotland →"
73,query_only,knowledge/country_capital,36,72,,,,,,,,,,,,,,,,,,,,,Ukrainian State,Kiev,Ukrainian State →
